Date,Values,Delta Calculations,Delta - Mean(-9.54364046504e-05)
1998-07-17,5.3,-0.040000000000000036,-0.039904563595349635
1998-07-20,5.22,-0.08000000000000007,-0.07990456359534967
1998-07-21,5.23,0.010000000000000675,0.010095436404651076
1998-07-22,5.24,0.009999999999999787,0.010095436404650188
1998-07-23,5.25,0.009999999999999787,0.010095436404650188
1998-07-24,5.26,0.009999999999999787,0.010095436404650188
1998-07-27,5.3,0.040000000000000036,0.040095436404650436
1998-07-28,5.28,-0.019999999999999574,-0.019904563595349173
1998-07-29,5.27,-0.010000000000000675,-0.009904563595350274
1998-07-30,5.27,0.0,9.54364046504e-05
1998-07-31,5.26,-0.009999999999999787,-0.009904563595349386
1998-08-03,5.26,0.0,9.54364046504e-05
1998-08-04,5.28,0.020000000000000462,0.020095436404650863
1998-08-05,5.3,0.019999999999999574,0.020095436404649974
1998-08-06,5.32,0.020000000000000462,0.020095436404650863
1998-08-07,5.36,0.040000000000000036,0.040095436404650436
1998-08-10,5.45,0.08999999999999986,0.09009543640465026
1998-08-11,5.47,0.019999999999999574,0.020095436404649974
1998-08-12,5.48,0.010000000000000675,0.010095436404651076
1998-08-13,5.49,0.009999999999999787,0.010095436404650188
1998-08-14,5.51,0.019999999999999574,0.020095436404649974
1998-08-17,5.55,0.040000000000000036,0.040095436404650436
1998-08-18,5.55,0.0,9.54364046504e-05
1998-08-19,5.55,0.0,9.54364046504e-05
1998-08-20,5.57,0.020000000000000462,0.020095436404650863
1998-08-21,5.59,0.019999999999999574,0.020095436404649974
1998-08-24,5.63,0.040000000000000036,0.040095436404650436
1998-08-25,5.65,0.020000000000000462,0.020095436404650863
1998-08-26,5.68,0.02999999999999936,0.03009543640464976
1998-08-27,5.72,0.040000000000000036,0.040095436404650436
1998-08-28,5.78,0.0600000000000005,0.0600954364046509
1998-09-01,5.89,0.10999999999999943,0.11009543640464983
1998-09-02,5.91,0.020000000000000462,0.020095436404650863
1998-09-03,5.96,0.04999999999999982,0.05009543640465022
1998-09-04,6.0,0.040000000000000036,0.040095436404650436
1998-09-08,6.05,0.04999999999999982,0.05009543640465022
1998-09-09,6.06,0.009999999999999787,0.010095436404650188
1998-09-10,6.09,0.03000000000000025,0.03009543640465065
1998-09-11,6.12,0.03000000000000025,0.03009543640465065
1998-09-14,6.16,0.040000000000000036,0.040095436404650436
1998-09-15,6.16,0.0,9.54364046504e-05
1998-09-16,6.17,0.009999999999999787,0.010095436404650188
1998-09-17,6.17,0.0,9.54364046504e-05
1998-09-18,6.2,0.03000000000000025,0.03009543640465065
1998-09-21,6.21,0.009999999999999787,0.010095436404650188
1998-09-22,6.22,0.009999999999999787,0.010095436404650188
1998-09-23,6.22,0.0,9.54364046504e-05
1998-09-24,6.24,0.020000000000000462,0.020095436404650863
1998-09-25,6.26,0.019999999999999574,0.020095436404649974
1998-09-28,6.28,0.020000000000000462,0.020095436404650863
1998-09-29,6.29,0.009999999999999787,0.010095436404650188
1998-09-30,6.3,0.009999999999999787,0.010095436404650188
1998-10-01,6.28,-0.019999999999999574,-0.019904563595349173
1998-10-02,6.26,-0.020000000000000462,-0.01990456359535006
1998-10-05,6.23,-0.02999999999999936,-0.02990456359534896
